4.65	28.97
19.89	86.94
34.05	13.60
12.13	37.99
76.00	89.55
85.99	55.91
74.06	58.86
99.18	55.46
54.02	27.50
69.96	90.90
85.79	31.38
94.75	45.58
96.46	46.49
25.03	36.66
26.09	86.51
22.69	1.08
58.62	58.20
87.50	41.12
92.36	27.41
64.32	85.80
36.69	46.51
93.30	67.59
34.46	8.15
61.85	23.26
13.63	19.30
53.76	2.26
65.38	34.78
67.78	6.34
31.26	50.00
95.65	90.11
57.08	28.98
8.07	23.91
37.58	35.61
95.61	57.34
32.63	43.51
51.62	24.93
82.91	23.27
63.98	3.63
91.20	44.17
3.52	65.95
63.96	82.43
58.25	72.49
27.06	97.54
64.83	12.53
39.45	24.29
30.98	32.73
29.02	29.01
26.30	90.32
66.10	95.79
42.48	29.36
71.54	40.62
88.74	6.64
29.03	99.86
93.27	87.15
33.99	2.98
27.52	88.04
65.16	18.99
56.28	74.96
9.21	61.00
43.85	4.70
3.53	44.07
14.07	64.16
87.83	17.58
70.38	77.37
71.43	35.45
30.96	39.20
29.63	84.96
23.65	87.48
40.10	68.09
15.27	43.66
58.24	18.03
21.14	36.11
8.78	37.94
51.69	69.94
40.59	69.13
5.27	22.67
51.06	31.27
8.92	25.75
37.32	28.77
42.12	38.84
72.29	84.12
52.53	35.67
35.63	41.70
87.27	98.48
51.83	83.62
18.29	60.95
0.70	12.83
36.58	49.37
69.12	88.37
25.89	45.72
7.26	42.41
4.19	37.28
37.18	69.56
38.26	22.94
37.35	54.97
95.60	18.21
92.60	0.02
96.43	38.07
55.89	11.39
68.19	39.44
15.64	43.02
85.21	73.93
0.12	18.68
96.91	35.11
79.45	17.82
9.46	84.72
44.47	76.80
87.60	7.10
52.10	43.89
86.39	72.57
26.97	27.03
5.63	86.71
0.29	90.83
83.71	64.71
48.78	91.36
12.37	98.14
68.66	85.79
58.73	74.50
82.89	17.30
27.03	69.22
33.30	55.56
78.68	54.59
53.53	67.63
56.58	60.17
53.62	5.10
27.05	75.33
72.55	19.46
61.19	6.23
71.07	59.50
26.31	86.61
44.05	62.17
47.82	94.60
28.76	21.44
31.81	46.42
73.66	8.51
9.62	21.61
10.73	20.93
77.19	24.35
43.75	58.53
53.54	0.78
24.70	59.39
76.21	13.04
40.96	80.58
83.89	17.38
77.17	75.06
11.17	6.05
47.26	99.02
34.37	50.28
14.59	81.55
62.89	25.19
31.02	2.92
66.11	6.79
29.58	56.58
62.49	5.46
99.29	15.37
74.38	41.15
55.91	82.94
69.91	71.04
97.67	87.70
71.46	52.40
1.11	68.40
9.29	60.24
69.15	8.18
38.32	82.35
90.55	96.76
16.32	82.86
8.14	39.60
62.62	59.29
21.77	86.84
77.60	18.00
71.06	25.19
5.73	58.21
53.00	61.41
67.11	85.59
29.93	27.31
66.16	73.24
74.52	53.07
9.82	49.87
80.06	88.42
32.15	22.94
36.85	98.90
27.63	37.95
38.38	28.76
40.92	34.17
34.56	0.96
47.58	81.70
93.67	20.10
87.13	75.31
69.40	54.54
77.50	16.18
94.91	0.25
48.27	34.47
41.84	71.12
79.13	92.77
89.28	17.45
19.29	63.33
44.53	47.99
93.89	90.28
45.98	19.40
74.40	32.52
56.78	61.44
1.14	32.14
27.22	26.24
98.28	69.00
63.74	85.63
14.35	42.93
92.81	51.88
54.52	71.29
49.14	63.84
44.92	2.51
49.51	63.29
83.74	23.23
35.44	84.29
89.01	80.85
81.67	92.04
49.02	51.94
70.17	37.36
17.21	61.78
24.32	37.67
71.18	0.72
82.37	56.19
72.33	88.92
65.05	27.27
21.58	12.57
57.88	67.62
5.27	92.01
86.18	20.78
64.83	45.01
7.31	5.38
4.14	76.69
83.34	76.33
69.25	62.01
25.60	62.60
96.55	86.14
21.86	15.31
27.42	73.56
66.89	85.39
30.35	67.60
17.39	51.35
54.49	18.74
83.65	34.71
62.73	2.15
51.92	72.93
56.93	12.92
3.73	68.21
12.91	80.73
61.66	93.79
89.08	4.80
44.33	19.22
58.29	34.88
58.02	10.89
40.30	14.00
86.65	74.67
79.38	55.11
68.09	34.12
20.13	44.88
59.98	79.03
83.43	55.39
5.89	77.39
34.11	97.36
9.20	16.10
61.84	66.67
10.73	25.42
67.90	20.37
44.35	45.73
61.55	67.91
14.06	15.83
22.13	78.65
96.29	97.30
75.32	87.67
21.02	0.78
65.67	28.63
27.09	47.00
81.12	34.39
18.21	77.85
99.92	24.08
69.12	30.86
85.64	38.82
43.77	4.45
51.52	97.21
91.55	70.38
52.00	16.54
81.30	35.21
36.34	85.98
18.23	12.86
16.76	83.91
63.86	46.95
62.04	3.23
45.65	13.29
26.27	85.60
99.35	40.50
62.02	68.45
34.83	9.79
47.52	17.00
53.68	33.93
78.09	47.78
76.07	69.47
33.44	49.54
52.97	86.67
34.76	73.06
50.24	6.88
47.88	92.28
91.19	18.84
72.37	35.48
35.56	1.67
80.18	47.91
54.52	15.41
31.94	74.68
33.63	67.74
4.57	46.38
98.76	29.49
9.09	8.98
13.53	50.68
64.41	64.28
41.10	24.33
19.80	77.31
97.90	55.33
86.25	63.38
52.66	18.39
45.46	88.73
39.74	30.75
54.00	6.22
63.06	22.99
49.77	0.08
63.79	64.21
98.06	32.32
13.31	86.95
85.25	67.62
71.32	61.30
79.73	2.87
18.43	87.74
31.66	43.23
32.17	14.20
75.68	47.33
26.14	33.49
34.21	10.88
12.87	84.87
92.87	70.09
82.84	65.41
33.87	84.26
14.57	55.31
68.78	0.30
43.29	75.05
7.53	10.94
19.85	21.60
37.11	93.21
85.32	75.80
60.53	54.11
71.88	34.02
64.02	16.15
15.86	93.12
39.14	47.38
35.15	9.82
84.99	77.33
79.66	63.02
55.57	43.41
11.25	70.89
97.37	80.71
6.98	53.08
43.08	2.06
8.82	83.11
88.74	15.18
61.61	45.66
83.80	88.83
91.25	99.46
6.03	11.10
75.54	47.56
76.77	79.18
51.10	33.66
95.66	22.62
81.64	15.77
38.88	89.51
85.13	16.55
69.66	18.76
80.60	13.58
56.19	80.52
68.53	11.91
77.84	91.67
3.53	36.68
28.28	3.55
52.42	93.83
91.19	15.04
56.55	73.54
73.12	85.74
33.35	12.56
26.43	11.13
58.60	89.65
85.19	74.58
68.58	0.73
66.98	9.33
8.95	50.01
64.23	87.71
36.08	96.93
60.27	4.77
45.62	19.33
57.38	38.46
62.98	88.67
96.53	49.83
81.06	4.40
82.17	33.02
71.32	1.56
99.11	37.12
26.48	28.09
23.00	59.93
15.02	86.69
81.53	56.83
41.08	49.42
18.64	17.42
6.70	83.25
51.10	36.83
67.55	69.13
